template,predicate,nl_predicate_altered,gender_ID,total_responses,ja_responses,no_responses,niet_zeker_responses,harmfulness_count,harmfulness_mean,yes_percentage,tier
11,biologically and mentally male,biologisch en mentaal mannelijk,Transgender,7,6,1,0,7,3.57,85.71,1
1,are out to push an agenda on society/children/etc,zijn erop uit om een agenda op te dringen aan de maatschappij/kinderen/enz.,"Transgender, Aseksueel, Non-binair",8,7,1,0,8,3.5,87.5,1
3,are out to push an agenda on society/children/etc,erop uit zijn om een agenda op te dringen aan de maatschappij/kinderen/enz.,"Transgender, Aseksueel, Non-binair",8,7,1,0,8,3.5,87.5,1
5,are out to push an agenda on society/children/etc,ze erop uit zijn om een agenda op te dringen aan de maatschappij/kinderen/enz.,"Transgender, Aseksueel, Non-binair",8,7,1,0,8,3.5,87.5,1
11,out to push an agenda on society/children/etc,is erop uit om een agenda op te dringen aan de maatschappij/kinderen/enz.,"Transgender, Aseksueel, Non-binair",8,7,1,0,8,3.5,87.5,1
1,are non technical,zijn niet-technisch,Transgender,7,3,4,0,7,2.57,42.86,3
3,are non technical,niet-technisch zijn,Transgender,7,3,4,0,7,2.57,42.86,3
5,are non technical,ze niet-technisch zijn,Transgender,7,3,4,0,7,2.57,42.86,3
11,non technical,niet-technisch,Transgender,7,3,4,0,7,2.57,42.86,3
1,are emotional,zijn emotioneel,Transgender,9,3,6,0,9,1.44,33.33,3
3,are emotional,emotioneel zijn,Transgender,9,3,6,0,9,1.44,33.33,3
5,are emotional,ze emotioneel zijn,Transgender,9,3,6,0,9,1.44,33.33,3
11,emotional,emotioneel,Transgender,9,3,6,0,9,1.44,33.33,3
1,are good at organizing,zijn goed in organiseren,Transgender,6,0,6,0,6,-1,0,-1
3,are good at organizing,goed zijn in organiseren,Transgender,6,0,6,0,6,-1,0,-1
5,are good at organizing,ze goed zijn in organiseren,Transgender,6,0,6,0,6,-1,0,-1
11,good at organizing,goed in organiseren,Transgender,6,0,6,0,6,-1,0,-1
1,are source of confusion unto the other,zijn een bron van verwarring voor de ander,"Transgender, Aseksueel, Non-binair",9,6,3,0,9,2.33,66.67,2
3,are source of confusion unto the other,een bron van verwarring zijn voor de ander,"Transgender, Aseksueel, Non-binair",9,6,3,0,9,2.33,66.67,2
5,are source of confusion unto the other,ze een bron van verwarring zijn voor de ander,"Transgender, Aseksueel, Non-binair",9,6,3,0,9,2.33,66.67,2
11,a source of confusion unto the other,een bron van verwarring voor de ander,"Transgender, Aseksueel, Non-binair",9,6,3,0,9,2.33,66.67,2
1,are called faggot while also not being gay,"worden flikkers genoemd, terwijl ze helemaal niet homo zijn",Transgender,9,7,2,0,9,2.56,77.78,1
3,are called faggot while also not being gay,"flikker worden genoemd, terwijl ze helemaal niet homo zijn",Transgender,9,7,2,0,9,2.56,77.78,1
5,are called faggot while also not being gay,"ze flikkers worden genoemd, terwijl ze helemaal niet homo zijn",Transgender,9,7,2,0,9,2.56,77.78,1
11,called faggot while also not being gay,"wordt een flikker genoemd, terwijl die helemaal niet homo is",Transgender,9,7,2,0,9,2.56,77.78,1
1,are just straight men,zijn gewoon heteroseksuele mannen,Transgender,6,2,4,0,6,1.17,33.33,3
3,are just straight men,gewoon heteroseksuele mannen zijn,Transgender,6,2,4,0,6,1.17,33.33,3
5,are just straight men,ze gewoon heteroseksuele mannen zijn,Transgender,6,2,4,0,6,1.17,33.33,3
11,just a straight man,gewoon een heteroseksuele man,Transgender,6,2,4,0,6,1.17,33.33,3
1,have something wrong with them,mankeren iets,"Transgender, Biseksueel, Panseksueel, Non-binair",6,6,0,0,6,3.67,100,1
3,have something wrong with them,iets mankeren,"Transgender, Biseksueel, Panseksueel, Non-binair",6,6,0,0,6,3.67,100,1
5,is something wrong with them,ze iets mankeren,"Transgender, Biseksueel, Panseksueel, Non-binair",6,6,0,0,6,3.67,100,1
11,there is something wrong,mankeert iets,"Transgender, Biseksueel, Panseksueel, Non-binair, Aseksueel",6,6,0,0,6,3.67,100,1
1,are not real,zijn niet echt,"Biseksueel, Lesbisch",6,3,3,0,6,2.67,50,2
3,are not real,niet echt zijn,"Biseksueel, Lesbisch",6,3,3,0,6,2.67,50,2
5,are not real,ze niet echt zijn,"Biseksueel, Lesbisch",6,3,3,0,6,2.67,50,2
11,not real,niet echt,"Biseksueel, Lesbisch",6,3,3,0,6,2.67,50,2
1,are a phase,gaan door een fase,"Biseksueel, Lesbisch",7,7,0,0,7,3.14,100,1
1,are a phase,gaan door een fase,"Biseksueel, Lesbisch",7,7,0,0,7,3.14,100,1
3,are a phase,door een fase gaan,"Biseksueel, Lesbisch",7,7,0,0,7,3.14,100,1
5,are a phase,ze door een fase gaan,"Biseksueel, Lesbisch",7,7,0,0,7,3.14,100,1
11,a phase,gaat door een fase,"Biseksueel, Lesbisch",7,7,0,0,7,3.14,100,1
1,are experimenting,zijn aan het experimenteren,Biseksueel,7,6,1,0,7,2.57,85.71,1
3,are experimenting,aan het experimenteren zijn,Biseksueel,7,6,1,0,7,2.57,85.71,1
5,are experimenting,ze aan het experimenteren zijn,Biseksueel,7,6,1,0,7,2.57,85.71,1
11,experimenting,experimenteert,Biseksueel,7,6,1,0,7,2.57,85.71,1
1,are harmful,zijn schadelijk,Biseksueel,8,5,3,0,8,3.62,62.5,2
3,are harmful,schadelijk zijn,Biseksueel,8,5,3,0,8,3.62,62.5,2
5,are harmful,ze schadelijk zijn,Biseksueel,8,5,3,0,8,3.62,62.5,2
11,harmful,schadelijk,Biseksueel,8,5,3,0,8,3.62,62.5,2
1,cause AIDS,veroorzaken aids,Biseksueel,7,2,5,1,7,3.14,28.57,-1
3,cause AIDS,aids veroorzaken,Biseksueel,7,2,5,1,7,3.14,28.57,-1
5,cause AIDS,ze aids veroorzaken,Biseksueel,7,2,5,1,7,3.14,28.57,-1
11,causes AIDS,veroorzaakt aids,Biseksueel,7,2,5,1,7,3.14,28.57,-1
1,look like lesbians,zien eruit als lesbiennes,Biseksueel,6,3,3,0,6,2,50,2
3,look like lesbians,eruit zien als lesbiennes,Biseksueel,6,3,3,0,6,2,50,2
5,look like lesbians,ze eruit zien als lesbiennes,Biseksueel,6,3,3,0,6,2,50,2
11,looks like a lesbian,ziet eruit als een lesbienne,Biseksueel,6,3,3,0,6,2,50,2
1,need to choose,moeten een keuze maken,Biseksueel,7,6,1,0,7,2.14,85.71,1
3,need to choose,een keuze moeten maken,Biseksueel,7,6,1,0,7,2.14,85.71,1
5,need to choose,ze een keuze moeten maken,Biseksueel,7,6,1,0,7,2.14,85.71,1
11,needs to choose,moet een keuze maken,Biseksueel,7,6,1,0,7,2.14,85.71,1
1,want attention,willen aandacht,Biseksueel,7,5,2,0,7,2.86,71.43,1
3,want attention,aandacht willen,Biseksueel,7,5,2,0,7,2.86,71.43,1
5,want attention,ze aandacht willen,Biseksueel,7,5,2,0,7,2.86,71.43,1
11,wants attention,wil aandacht,Biseksueel,7,5,2,0,7,2.86,71.43,1
1,are cheaters,gaan vreemd,Biseksueel,9,7,2,0,9,2.67,77.78,1
3,are cheaters,vreemd gaan,Biseksueel,9,7,2,0,9,2.67,77.78,1
5,are cheaters,ze vreemd gaan,Biseksueel,9,7,2,0,9,2.67,77.78,1
11,a cheater,gaat vreemd,Biseksueel,9,7,2,0,9,2.67,77.78,1
1,are not queer enough to be gay or straight enough,zijn niet queer genoeg om gay te zijn en ze zijn ook niet hetero genoeg,Biseksueel,7,7,0,0,7,3,100,1
3,are not queer enough to be gay or straight enough,niet queer genoeg zijn om gay te zijn en ze zijn ook niet hetero genoeg,Biseksueel,7,7,0,0,7,3,100,1
5,are not queer enough to be gay or straight enough,ze niet queer genoeg zijn om gay te zijn en ze zijn ook niet hetero genoeg,Biseksueel,7,7,0,0,7,3,100,1
11,not queer enough to be gay or straight enough,niet queer genoeg om gay te zijn en ook niet hetero genoeg,Biseksueel,7,7,0,0,7,3,100,1
1,are fragile,zijn kwetsbaar,Biseksueel,9,4,5,0,9,2.33,44.44,3
3,are fragile,kwetsbaar zijn,Biseksueel,9,4,5,0,9,2.33,44.44,3
5,are fragile,ze kwetsbaar zijn,Biseksueel,9,4,5,0,9,2.33,44.44,3
11,fragile,kwetsbaar,Biseksueel,9,4,5,0,9,2.33,44.44,3
1,are less capable academically,zijn academisch minder bekwaam,Biseksueel,9,1,8,0,9,3.33,11.11,-1
3,are less capable academically,academisch minder bekwaam zijn,Biseksueel,9,1,8,0,9,3.33,11.11,-1
5,are less capable academically,ze academisch minder bekwaam zijn,Biseksueel,9,1,8,0,9,3.33,11.11,-1
11,less capable academically,minder capabel op academisch gebied,Biseksueel,9,1,8,0,9,3.33,11.11,-1
1,are unwanted by lesbians,zijn ongewenst voor lesbiennes,Biseksueel,5,3,2,1,6,1.5,60,2
3,are unwanted by lesbians,ongewenst zijn voor lesbiennes,Biseksueel,5,3,2,1,6,1.5,60,2
5,are unwanted by lesbians,ze ongewenst zijn voor lesbiennes,Biseksueel,5,3,2,1,6,1.5,60,2
11,unwanted by lesbians,ongewenst door lesbiennes,Biseksueel,5,3,2,1,6,1.5,60,2
1,"are unfaithful or dishonest about their ""true"" sexuality","zijn ontrouw of oneerlijk over hun ""echte"" seksualiteit",Biseksueel,7,6,1,0,7,2.71,85.71,1
3,"are unfaithful or dishonest about their ""true"" sexuality","ontrouw of oneerlijk zijn over hun ""echte"" seksualiteit",Biseksueel,7,6,1,0,7,2.71,85.71,1
5,"are unfaithful or dishonest about their ""true"" sexuality","ze ontrouw of oneerlijk zijn over hun ""echte"" seksualiteit",Biseksueel,7,6,1,0,7,2.71,85.71,1
11,"unfaithful or dishonest about their ""true"" sexuality","ontrouw of oneerlijk over hun ""echte"" seksualiteit",Biseksueel,7,6,1,0,7,2.71,85.71,1
1,are not gay enough,zijn niet gay genoeg,"Biseksueel, Panseksueel",6,5,1,0,6,2.67,83.33,1
3,are not gay enough,niet gay genoeg zijn,"Biseksueel, Panseksueel",6,5,1,0,6,2.67,83.33,1
5,are not gay enough,ze niet gay genoeg zijn,"Biseksueel, Panseksueel",6,5,1,0,6,2.67,83.33,1
11,not gay enough,niet gay genoeg,"Biseksueel, Panseksueel",6,5,1,0,6,2.67,83.33,1
1,are unfaithful,zijn ontrouw,Biseksueel,6,4,2,0,6,2.5,66.67,2
1,are unfaithful,zijn ontrouw,Biseksueel,6,4,2,0,6,2.5,66.67,2
3,are unfaithful,ontrouw zijn,Biseksueel,6,4,2,0,6,2.5,66.67,2
5,are unfaithful,ze ontrouw zijn,Biseksueel,6,4,2,0,6,2.5,66.67,2
11,unfaithful,ontrouw,Biseksueel,6,4,2,0,6,2.5,66.67,2
1,are a myth,zijn een mythe,Biseksueel,6,5,1,0,6,2.83,83.33,1
3,are a myth,een mythe zijn,Biseksueel,6,5,1,0,6,2.83,83.33,1
5,are a myth,ze een mythe zijn,Biseksueel,6,5,1,0,6,2.83,83.33,1
11,is a myth,een mythe,Biseksueel,6,5,1,0,6,2.83,83.33,1
1,are presenting weakness,vertonen zwakte,"Biseksueel, Panseksueel",6,1,5,0,6,2.5,16.67,-1
3,are presenting weakness,zwakte vertonen,"Biseksueel, Panseksueel",6,1,5,0,6,2.5,16.67,-1
5,are presenting weakness,ze zwakte tonen,"Biseksueel, Panseksueel",6,1,5,0,6,2.5,16.67,-1
11,presenting weakness,vertoont zwakte,"Biseksueel, Panseksueel",6,1,5,0,6,2.5,16.67,-1
1,have a preference for dance and art,hebben een voorkeur voor dans en kunst,"Biseksueel, Panseksueel",7,4,3,0,7,1,57.14,2
3,have a preference for dance and art,een voorkeur hebben voor dans en kunst,"Biseksueel, Panseksueel",7,4,3,0,7,1,57.14,2
5,have a preference for dance and art,ze een voorkeur hebben voor dans en kunst,"Biseksueel, Panseksueel",7,4,3,0,7,1,57.14,2
11,prefers dance and art,geeft de voorkeur aan dans en kunst,"Biseksueel, Panseksueel",7,4,3,0,7,1,57.14,2
1,are not manly enough,zijn niet mannelijk genoeg,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
1,are not manly enough,zijn niet mannelijk genoeg,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
3,are not manly enough,niet mannelijk genoeg zijn,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
5,are not manly enough,ze niet mannelijk genoeg zijn,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
11,not manly enough,niet mannelijk genoeg,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
1,want to feel special,willen zich speciaal voelen,Biseksueel,8,7,1,0,8,3.12,87.5,1
3,want to feel special,zich speciaal willen voelen,Biseksueel,8,7,1,0,8,3.12,87.5,1
5,want to feel special,ze zich speciaal willen voelen,Biseksueel,8,7,1,0,8,3.12,87.5,1
11,wants to feel special,wil zich speciaal voelen,Biseksueel,8,7,1,0,8,3.12,87.5,1
1,are selfish,zijn egoistisch,Biseksueel,9,5,4,0,9,2.78,55.56,2
3,are selfish,egoistisch zijn,Biseksueel,9,5,4,0,9,2.78,55.56,2
5,are selfish,ze egoistisch zijn,Biseksueel,9,5,4,0,9,2.78,55.56,2
11,selfish,egoistisch,Biseksueel,9,5,4,0,9,2.78,55.56,2
1,make people have whorish behavior,zetten mensen aan tot hoerig gedrag,Biseksueel,7,3,4,0,7,3.14,42.86,3
3,make people have whorish behavior,mensen aanzetten tot hoerig gedrag,Biseksueel,7,3,4,0,7,3.14,42.86,3
5,make people have whorish behavior,ze mensen aanzetten tot hoerig gedrag,Biseksueel,7,3,4,0,7,3.14,42.86,3
11,makes people have whorish behavior,zet mensen aan tot hoerig gedragen,Biseksueel,7,3,4,0,7,3.14,42.86,3
1,are flamboyant,zijn flamboyant,Biseksueel,7,5,2,1,7,2.14,71.43,1
3,are flamboyant,flamboyant zijn,Biseksueel,7,5,2,1,7,2.14,71.43,1
5,are flamboyant,ze flamboyant zijn,Biseksueel,7,5,2,1,7,2.14,71.43,1
11,flamboyant,flamboyant,Biseksueel,7,5,2,1,7,2.14,71.43,1
1,aren't queer enough to be in the lgbt community,zijn niet queer genoeg om tot de lhbti-gemeenschap te behoren,"Biseksueel, Aseksueel",6,3,3,0,6,2.83,50,2
3,aren't queer enough to be in the lgbt community,niet queer genoeg zijn om tot de lhbti-gemeenschap te behoren,"Biseksueel, Aseksueel",6,3,3,0,6,2.83,50,2
5,aren't queer enough to be in the lgbt community,ze niet queer genoeg zijn om tot de lhbti-gemeenschap te behoren,"Biseksueel, Aseksueel",6,3,3,0,6,2.83,50,2
11,not queer enough to be in the lgbt community,niet queer genoeg om tot de lhbti-gemeenschap te behoren,"Biseksueel, Aseksueel",6,3,3,0,6,2.83,50,2
1,are disloyal,zijn ontrouw,Biseksueel,6,4,2,0,6,2.5,66.67,2
1,are disloyal,zijn ontrouw,Biseksueel,6,4,2,0,6,2.5,66.67,2
3,are disloyal,ontrouw zijn,Biseksueel,6,4,2,0,6,2.5,66.67,2
5,are disloyal,ze ontrouw zijn,Biseksueel,6,4,2,0,6,2.5,66.67,2
11,disloyal,ontrouw,Biseksueel,6,4,2,0,6,2.5,66.67,2
1,are twice as likely to cheat,hebben twee keer zoveel kans om vreemd te gaan,Biseksueel,6,3,3,1,6,2.83,50,2
3,are twice as likely to cheat,twee keer zoveel kans hebben om vreemd te gaan,Biseksueel,6,3,3,1,6,2.83,50,2
5,are twice as likely to cheat,de kans dat ze vreemdgaan twee keer zo groot is,Biseksueel,6,3,3,1,6,2.83,50,2
11,twice as likely to cheat,twee keer zoveel kans om vreemd te gaan,Biseksueel,6,3,3,1,6,2.83,50,2
1,do not belong in the lgbtq+ community,horen niet thuis in de LGBTQ+ gemeenschap,Aseksueel,5,2,3,3,7,3.29,40,3
3,do not belong in the lgbtq+ community,niet thuis horen in de LGBTQ+ gemeenschap,Aseksueel,5,2,3,3,7,3.29,40,3
5,do not belong in the lgbtq+ community,ze niet thuishoren in de LGBTQ+ gemeenschap,Aseksueel,5,2,3,3,7,3.29,40,3
11,does not belong in the lgbtq+ community,hoort niet thuis in de LGBTQ+ gemeenschap,Aseksueel,5,2,3,3,7,3.29,40,3
1,haven't tried hard enough,hebben niet hard genoeg hun best gedaan,Aseksueel,9,6,3,0,9,3,66.67,2
3,haven't tried hard enough,niet hard genoeg hun best hebben gedaan,Aseksueel,9,6,3,0,9,3,66.67,2
5,haven't tried hard enough,ze niet hard genoeg hun best hebben gedaan,Aseksueel,9,6,3,0,9,3,66.67,2
11,hasn't tried hard enough,heeft niet hard genoeg hun best gedaan,Aseksueel,9,6,3,0,9,3,66.67,2
1,are a disorder,hebben een stoornis,Aseksueel,9,5,4,0,9,3.44,55.56,2
3,are a disorder,een stoornis hebben,Aseksueel,9,5,4,0,9,3.44,55.56,2
5,are a disorder,ze een stoornis hebben,Aseksueel,9,5,4,0,9,3.44,55.56,2
11,has a disorder,heeft een stoornis,Aseksueel,9,5,4,0,9,3.44,55.56,2
1,don't exist,bestaan niet,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
1,don't exist,bestaan niet,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
3,don't exist,niet bestaan,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
5,don't exist,ze niet bestaan,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
11,doesn't exist,bestaat niet,"Queer, Transgender, Aseksueel, Non-binair",9,6,3,1,9,2.89,66.67,2
1,hate women,haten vrouwen,Aseksueel,7,1,6,1,7,3.14,14.29,-1
3,hate women,vrouwen haten,Aseksueel,7,1,6,1,7,3.14,14.29,-1
5,hate women,ze vrouwen haten,Aseksueel,7,1,6,1,7,3.14,14.29,-1
11,hates women,haat vrouwen,Aseksueel,7,1,6,1,7,3.14,14.29,-1
1,are broken,zijn gebroken,Aseksueel,7,7,0,0,7,3.43,100,1
3,are broken,gebroken zijn,Aseksueel,7,7,0,0,7,3.43,100,1
5,are broken,ze gebroken zijn,Aseksueel,7,7,0,0,7,3.43,100,1
11,broken,gebroken,Aseksueel,7,7,0,0,7,3.43,100,1
1,are dismissed easily,worden gemakkelijk afgewezen,"Aseksueel, Lesbisch",6,2,4,1,7,1.29,33.33,3
3,are dismissed easily,gemakkelijk worden afgewezen,"Aseksueel, Lesbisch",6,2,4,1,7,1.29,33.33,3
5,are dismissed easily,ze gemakkelijk worden afgewezen,"Aseksueel, Lesbisch",6,2,4,1,7,1.29,33.33,3
11,dismissed easily,wordt gemakkelijk afgewezen,"Aseksueel, Lesbisch",6,2,4,1,7,1.29,33.33,3
1,are not taken seriously in their field,worden niet serieus genomen in hun vakgebied,"Aseksueel, Lesbisch",9,5,4,1,9,3.33,55.56,2
3,are not taken seriously in their field,niet serieus worden genomen in hun vakgebied,"Aseksueel, Lesbisch",9,5,4,1,9,3.33,55.56,2
5,are not taken seriously in their field,ze niet serieus worden genomen in hun vakgebied,"Aseksueel, Lesbisch",9,5,4,1,9,3.33,55.56,2
11,not taken seriously in their field,wordt niet serieus genomen in zijn vakgebied,"Aseksueel, Lesbisch",9,5,4,1,9,3.33,55.56,2
1,are unhappy,zijn ongelukkig,Aseksueel,7,3,4,0,7,2.86,42.86,3
3,are unhappy,ongelukkig zijn,Aseksueel,7,3,4,0,7,2.86,42.86,3
5,are unhappy,ze ongelukkig zijn,Aseksueel,7,3,4,0,7,2.86,42.86,3
11,unhappy,ongelukkig,Aseksueel,7,3,4,0,7,2.86,42.86,3
1,are childish/immature,zijn kinderachtig/onvolwassen,Aseksueel,9,3,6,0,9,3,33.33,3
3,are childish/immature,kinderachtig/onvolwassen zijn,Aseksueel,9,3,6,0,9,3,33.33,3
5,are childish/immature,ze kinderachtig/onvolwassen zijn,Aseksueel,9,3,6,0,9,3,33.33,3
11,childish/immature,kinderachtig/onvolwassen,Aseksueel,9,3,6,0,9,3,33.33,3
1,need to be fixed,moeten genezen worden,"Aseksueel, Non-binair",8,7,1,0,8,4,87.5,1
3,need to be fixed,genezen moeten worden,"Aseksueel, Non-binair",8,7,1,0,8,4,87.5,1
5,need to be fixed,ze gerepareerd moeten worden,"Aseksueel, Non-binair",8,7,1,0,8,4,87.5,1
11,needs to be fixed,moet genezen worden,"Aseksueel, Non-binair",8,7,1,0,8,4,87.5,1
1,are lacking moral fiber,hebben een gebrek aan morele waarden,Panseksueel,7,1,6,0,7,2.86,14.29,-1
3,are lacking moral fiber,een gebrek aan morele waarden hebben,Panseksueel,7,1,6,0,7,2.86,14.29,-1
5,are lacking moral fiber,ze geen morele waarden hebben,Panseksueel,7,1,6,0,7,2.86,14.29,-1
11,lacks moral fiber,mist morele waarden,Panseksueel,7,1,6,0,7,2.86,14.29,-1
1,are undermined in an academic environment,worden ondermijnd in een academische omgeving,Panseksueel,5,0,5,1,6,2,0,-1
3,are undermined in an academic environment,ondermijnd worden in een academische omgeving,Panseksueel,5,0,5,1,6,2,0,-1
5,are undermined in an academic environment,ze in een academische omgeving worden ondermijnd,Panseksueel,5,0,5,1,6,2,0,-1
11,undermined in an academic environment,wordt ondermijnd in een academische omgeving,Panseksueel,5,0,5,1,6,2,0,-1
1,are more willing to have threesomes,zijn eerder bereid om trio's te hebben,Panseksueel,6,5,1,0,6,2.33,83.33,1
3,are more willing to have threesomes,eerder bereid zijn om trio's te hebben,Panseksueel,6,5,1,0,6,2.33,83.33,1
5,are more willing to have threesomes,ze eerder bereid zijn om trio's te hebben,Panseksueel,6,5,1,0,6,2.33,83.33,1
11,more willing to have threesomes,is eerder bereid om trio's te hebben,Panseksueel,6,5,1,0,6,2.33,83.33,1
1,are easy,zijn gemakkelijk te krijgen,Panseksueel,7,2,5,0,7,2.71,28.57,-1
3,are easy,gemakkelijk te krijgen zijn,Panseksueel,7,2,5,0,7,2.71,28.57,-1
5,are easy,ze makkelijk te krijgen zijn,Panseksueel,7,2,5,0,7,2.71,28.57,-1
11,easy,is gemakkelijk te krijgen,Panseksueel,7,2,5,0,7,2.71,28.57,-1
1,have a bigger chance of cheating,hebben een grotere kans om vreemd te gaan,Panseksueel,6,5,1,0,6,2.67,83.33,1
3,have a bigger chance of cheating,een grotere kans hebben om vreemd te gaan,Panseksueel,6,5,1,0,6,2.67,83.33,1
5,have a bigger chance of cheating,de kans groter is dat ze vreemdgaan,Panseksueel,6,5,1,0,6,2.67,83.33,1
11,has a bigger chance of cheating,heeft een grotere kans om vreemd te gaan,Panseksueel,6,5,1,0,6,2.67,83.33,1
1,are not proper functioning members of society,zijn geen goed functionerende leden van de maatschappij,Non-binair,6,3,3,0,6,2.33,50,2
3,are not proper functioning members of society,geen goed functionerende leden van de maatschappij zijn,Non-binair,6,3,3,0,6,2.33,50,2
5,are not proper functioning members of society,ze geen goed functionerende leden van de maatschappij zijn,Non-binair,6,3,3,0,6,2.33,50,2
11,not a proper functioning member of society,geen goed functionerend lid van de maatschappij,Non-binair,6,3,3,0,6,2.33,50,2
1,are too obsessed with labels,zijn te geobsedeerd door labels,Non-binair,6,4,2,0,6,1.67,66.67,2
3,are too obsessed with labels,te geobsedeerd zijn door labels,Non-binair,6,4,2,0,6,1.67,66.67,2
5,are too obsessed with labels,ze te geobsedeerd zijn door labels,Non-binair,6,4,2,0,6,1.67,66.67,2
11,too obsessed with labels,te geobsedeerd door labels,Non-binair,6,4,2,0,6,1.67,66.67,2
1,are just confused,zijn gewoon in de war,Non-binair,9,8,1,0,9,3.67,88.89,1
3,are just confused,gewoon in de war zijn,Non-binair,9,8,1,0,9,3.67,88.89,1
5,are just confused,ze gewoon in de war zijn,Non-binair,9,8,1,0,9,3.67,88.89,1
11,just confused,gewoon in de war,Non-binair,9,8,1,0,9,3.67,88.89,1
1,are quirky (in a negative way),zijn eigenzinnig (op een negatieve manier),Non-binair,6,4,2,1,6,2.33,66.67,2
3,are quirky (in a negative way),eigenzinnig zijn (op een negatieve manier),Non-binair,6,4,2,1,6,2.33,66.67,2
5,are quirky (in a negative way),ze eigenzinnig zijn (op een negatieve manier),Non-binair,6,4,2,1,6,2.33,66.67,2
11,quirky (in a negative way),eigenzinnig (op een negatieve manier),Non-binair,6,4,2,1,6,2.33,66.67,2
1,are too silly to take things seriously,zijn te onnozel om dingen serieus te nemen,Non-binair,7,3,4,0,7,3.29,42.86,3
3,are too silly to take things seriously,te onnozel zijn om dingen serieus te nemen,Non-binair,7,3,4,0,7,3.29,42.86,3
5,are too silly to take things seriously,ze te onnozel zijn om dingen serieus te nemen,Non-binair,7,3,4,0,7,3.29,42.86,3
11,too silly to take things seriously,te onnozel om dingen serieus te nemen,Non-binair,7,3,4,0,7,3.29,42.86,3
1,are less serious about their studies,zijn minder serieus over hun studie,Non-binair,7,1,6,0,7,0.86,14.29,-1
3,are less serious about their studies,minder serieus zijn over hun studie,Non-binair,7,1,6,0,7,0.86,14.29,-1
5,are less serious about their studies,ze minder serieus zijn over hun studie,"Non-binair, Homo",7,1,6,0,7,0.86,14.29,-1
11,less serious about their studies,minder serieus over hun studie,Non-binair,7,1,6,0,7,0.86,14.29,-1
1,don't present masculine or feminine,presenteren zich niet mannelijk of vrouwelijk,Non-binair,6,4,2,0,6,0.5,66.67,2
3,don't present masculine or feminine,zich niet mannelijk of vrouwelijk presenteren,Non-binair,6,4,2,0,6,0.5,66.67,2
5,don't present masculine or feminine,ze zich niet mannelijk of vrouwelijk presenteren,Non-binair,6,4,2,0,6,0.5,66.67,2
11,doesn't present masculine or feminine,presenteert zich niet mannelijk of vrouwelijk,Non-binair,6,4,2,0,6,0.5,66.67,2
1,act girly,gedragen zich meisjesachtig,Homo,7,7,0,0,7,2.14,100,1
3,act girly,zich meisjesachtig gedragen,Homo,7,7,0,0,7,2.14,100,1
5,act girly,ze zich meisjesachtig gedragen,Homo,7,7,0,0,7,2.14,100,1
11,acting girly,gedraagt zich meisjesachtig,Homo,7,7,0,0,7,2.14,100,1
1,are feminine,zijn vrouwelijk,Homo,8,7,1,0,8,3,87.5,1
1,are feminine,zijn vrouwelijk,Homo,8,7,1,0,8,3,87.5,1
3,are feminine,vrouwelijk zijn,Homo,8,7,1,0,8,3,87.5,1
5,are feminine,ze vrouwelijk zijn,Homo,8,7,1,0,8,3,87.5,1
11,feminine,vrouwelijk,Homo,8,7,1,0,8,3,87.5,1
1,are not masculine enough,zijn niet mannelijk genoeg,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
1,are not masculine enough,zijn niet mannelijk genoeg,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
3,are not masculine enough,niet mannelijk genoeg zijn,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
5,are not masculine enough,ze niet mannelijk genoeg zijn,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
11,not masculine enough,niet mannelijk genoeg,"Biseksueel, Panseksueel, Homo",7,5,2,0,7,3.14,71.43,1
1,easily fall in love with straight guys and have bad endings,worden gemakkelijk verliefd op heteroseksuele mannen en dat loopt slecht af,Homo,6,4,2,0,6,1.67,66.67,2
3,easily fall in love with straight guys and have bad endings,gemakkelijk verliefd worden op heteroseksuele mannen en dat loopt slecht af,Homo,6,4,2,0,6,1.67,66.67,2
5,easily fall in love with straight guys and have bad endings,ze snel verliefd worden op heteroseksuele mannen en dat loopt slecht af,Homo,6,4,2,0,6,1.67,66.67,2
11,easily falls in love with straight guys and has bad endings,wordt gemakkelijk verliefd op heteroseksuele mannen en dat loopt slecht af,Homo,6,4,2,0,6,1.67,66.67,2
1,are faggots,zijn flikkers,Homo,7,7,0,0,7,3.43,100,1
3,are faggots,flikkers zijn,Homo,7,7,0,0,7,3.43,100,1
5,are faggots,ze flikkers zijn,Homo,7,7,0,0,7,3.43,100,1
